Number,Name,Date,Hour,RecordType,Hurclass,Lat,Lo,Maxwind,Minpress,
AL011851,UNNAMED,18510625,0,  , HU,28,94.8,80,-999,
AL011851,UNNAMED,18510625,600,  , HU,28,95.4,80,-999,
AL011851,UNNAMED,18510625,1200,  , HU,28,96,80,-999,
AL011851,UNNAMED,18510625,1800,  , HU,28.1,96.5,80,-999,
AL011851,UNNAMED,18510625,2100, L, HU,28.2,96.8,80,-999,
AL011851,UNNAMED,18510626,0,  , HU,28.2,97,70,-999,
AL011851,UNNAMED,18510626,600,  , TS,28.3,97.6,60,-999,
AL011851,UNNAMED,18510626,1200,  , TS,28.4,98.3,60,-999,
AL011851,UNNAMED,18510626,1800,  , TS,28.6,98.9,50,-999,
AL011851,UNNAMED,18510627,0,  , TS,29,99.4,50,-999,
AL011851,UNNAMED,18510627,600,  , TS,29.5,99.8,40,-999,
AL011851,UNNAMED,18510627,1200,  , TS,30,100,40,-999,
AL011851,UNNAMED,18510627,1800,  , TS,30.5,100.1,40,-999,
AL011851,UNNAMED,18510628,0,  , TS,31,100.2,40,-999,
AL021851,UNNAMED,18510705,1200,  , HU,22.2,97.6,80,-999,
AL031851,UNNAMED,18510710,1200,  , TS,12,60,50,-999,
AL041851,UNNAMED,18510816,0,  , TS,13.4,48,40,-999,
AL041851,UNNAMED,18510816,600,  , TS,13.7,49.5,40,-999,
AL041851,UNNAMED,18510816,1200,  , TS,14,51,50,-999,
AL041851,UNNAMED,18510816,1800,  , TS,14.4,52.8,50,-999,
AL041851,UNNAMED,18510817,0,  , TS,14.9,54.6,60,-999,
AL041851,UNNAMED,18510817,600,  , TS,15.4,56.5,60,-999,
AL041851,UNNAMED,18510817,1200,  , HU,15.9,58.5,70,-999,
AL041851,UNNAMED,18510817,1800,  , HU,16.1,60.4,70,-999,
AL041851,UNNAMED,18510818,0,  , HU,16.6,62.5,80,-999,
AL041851,UNNAMED,18510818,600,  , HU,16.9,64.1,80,-999,
AL041851,UNNAMED,18510818,1200,  , HU,17.2,66,90,-999,
AL041851,UNNAMED,18510818,1800,  , HU,17.6,67.6,90,-999,
AL041851,UNNAMED,18510819,0,  , HU,18,69.3,90,-999,
AL041851,UNNAMED,18510819,600,  , HU,18.4,71.1,70,-999,
AL041851,UNNAMED,18510819,1200,  , TS,18.9,72.6,60,-999,
AL041851,UNNAMED,18510819,1800,  , TS,19.4,74.3,60,-999,
AL041851,UNNAMED,18510820,0,  , HU,19.9,75.9,70,-999,
AL041851,UNNAMED,18510820,600,  , HU,20.5,77.6,70,-999,
AL041851,UNNAMED,18510820,1200,  , HU,21.2,79,70,-999,
AL041851,UNNAMED,18510820,1800,  , HU,21.9,80.4,70,-999,
AL041851,UNNAMED,18510821,0,  , TS,22.6,81.4,60,-999,
AL041851,UNNAMED,18510821,600,  , TS,23.2,82.5,60,-999,
AL041851,UNNAMED,18510821,1200,  , HU,23.9,83.6,70,-999,
AL041851,UNNAMED,18510821,1800,  , HU,24.4,84.3,70,-999,
AL041851,UNNAMED,18510822,0,  , HU,25,84.9,80,-999,
AL041851,UNNAMED,18510822,600,  , HU,25.6,85.5,80,-999,
AL041851,UNNAMED,18510822,1200,  , HU,26.2,86,90,-999,
AL041851,UNNAMED,18510822,1800,  , HU,26.8,86.3,90,-999,
AL041851,UNNAMED,18510823,0,  , HU,27.4,86.5,100,-999,
AL041851,UNNAMED,18510823,600,  , HU,28,86.6,100,-999,
AL041851,UNNAMED,18510823,1200,  , HU,28.5,86.6,100,-999,
AL041851,UNNAMED,18510823,1800,  , HU,29.6,86.1,100,-999,
AL041851,UNNAMED,18510823,2100, L, HU,30.1,85.7,100,-999,
AL041851,UNNAMED,18510824,0,  , HU,30.7,85.1,90,-999,
AL041851,UNNAMED,18510824,600,  , HU,31.6,84.1,70,-999,
AL041851,UNNAMED,18510824,1200,  , TS,32.5,83,60,-999,
AL041851,UNNAMED,18510824,1800,  , TS,33.4,81.4,50,-999,
AL041851,UNNAMED,18510825,0,  , TS,34,80,40,-999,
AL041851,UNNAMED,18510825,600,  , TS,34.8,78.6,40,-999,
AL041851,UNNAMED,18510825,1200,  , TS,35.8,77,40,-999,
AL041851,UNNAMED,18510825,1800,  , TS,36.8,75.1,40,-999,
AL041851,UNNAMED,18510826,0,  , TS,37.8,73.6,40,-999,
AL041851,UNNAMED,18510826,600,  , TS,38.9,71.8,40,-999,
AL041851,UNNAMED,18510826,1200,  , TS,40,70,40,-999,
AL041851,UNNAMED,18510826,1800,  , TS,41.3,66.8,40,-999,
AL041851,UNNAMED,18510827,0,  , TS,42.8,63.3,40,-999,
AL041851,UNNAMED,18510827,600,  , TS,44.5,60.2,40,-999,
AL041851,UNNAMED,18510827,1200,  , TS,46.4,57.2,40,-999,
AL041851,UNNAMED,18510827,1800,  , TS,48.5,54.2,40,-999,
AL051851,UNNAMED,18510913,0,  , TS,32.5,73.5,50,-999,
AL051851,UNNAMED,18510913,600,  , TS,32.5,73.5,50,-999,
AL051851,UNNAMED,18510913,1200,  , TS,32.5,73.5,50,-999,
AL051851,UNNAMED,18510913,1800,  , TS,32.5,73.5,50,-999,
AL051851,UNNAMED,18510914,0,  , TS,32.5,73.5,50,-999,
AL051851,UNNAMED,18510914,600,  , TS,32.5,73.5,50,-999,
AL051851,UNNAMED,18510914,1200,  , TS,32.5,73.5,50,-999,
AL051851,UNNAMED,18510914,1800,  , TS,32.5,73.5,50,-999,
AL051851,UNNAMED,18510915,0,  , TS,32.5,73.5,50,-999,
AL051851,UNNAMED,18510915,600,  , TS,32.5,73.5,50,-999,
AL051851,UNNAMED,18510915,1200,  , TS,32.5,73.5,50,-999,
AL051851,UNNAMED,18510915,1800,  , TS,32.5,73.5,50,-999,
AL051851,UNNAMED,18510916,0,  , TS,32.5,73.5,50,-999,
AL051851,UNNAMED,18510916,600,  , TS,32.5,73.5,50,-999,
AL051851,UNNAMED,18510916,1200,  , TS,32.5,73.5,50,-999,
